Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.1.1         	       Local        	      35.737 ms     	      48.844 ms     	      46.092 ms     	      47.853 ms     
 2	181.171.25.1        	     Argentina      	      43.874 ms     	      59.942 ms     	      57.585 ms     	      55.958 ms     
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.164.145      	     Argentina      	      51.782 ms     	      63.036 ms     	      60.456 ms     	      59.917 ms     
 7	200.89.165.130      	     Argentina      	       47.78 ms     	      60.238 ms     	      59.755 ms     	      59.815 ms     
 8	200.89.165.222      	     Argentina      	      47.831 ms     	      63.052 ms     	      59.934 ms     	      59.887 ms     
 9	185.70.203.56       	       Italy        	      43.894 ms     	      59.255 ms     	       57.79 ms     	      59.798 ms     
10	89.221.41.187       	       Italy        	     175.821 ms     	     191.205 ms     	     187.374 ms     	     187.891 ms     
11	89.221.41.187       	       Italy        	     167.878 ms     	     188.259 ms     	     184.208 ms     	     187.848 ms     
12	154.54.9.17         	   United States    	     175.794 ms     	      196.44 ms     	     192.253 ms     	     195.809 ms     
13	154.54.80.41        	   United States    	     207.927 ms     	     227.873 ms     	     226.778 ms     	     227.895 ms     
14	154.54.24.193       	   United States    	     211.838 ms     	     234.452 ms     	     231.362 ms     	     231.935 ms     
15	154.54.7.157        	   United States    	     195.864 ms     	     212.366 ms     	     209.791 ms     	     207.972 ms     
16	154.54.40.105       	   United States    	     195.831 ms     	     209.537 ms     	       207.6 ms     	     207.872 ms     
17	154.54.30.186       	   United States    	     259.906 ms     	      276.21 ms     	      274.01 ms     	     275.839 ms     
18	154.54.58.174       	   United States    	     259.893 ms     	     274.261 ms     	     271.598 ms     	     271.879 ms     
19	154.54.56.242       	   United States    	      263.88 ms     	      279.33 ms     	     277.202 ms     	     275.954 ms     
20	149.14.80.210       	   United States    	     259.905 ms     	      274.74 ms     	     271.325 ms     	     271.925 ms     
21	196.32.209.174      	    South Africa    	     439.952 ms     	     457.917 ms     	     454.288 ms     	     455.802 ms     
22	155.232.6.65        	    South Africa    	     439.849 ms     	     460.127 ms     	      458.03 ms     	     455.929 ms     
23	155.232.6.37        	    South Africa    	     439.919 ms     	     459.462 ms     	     452.082 ms     	     453.425 ms     
24	155.232.6.33        	    South Africa    	     443.847 ms     	     469.026 ms     	     461.109 ms     	     463.902 ms     
25	155.232.6.142       	    South Africa    	     443.819 ms     	     462.249 ms     	     457.622 ms     	     459.825 ms     
26	155.232.6.145       	    South Africa    	     463.847 ms     	     481.592 ms     	     479.082 ms     	     481.851 ms     
27	155.232.6.130       	    South Africa    	     439.925 ms     	     457.968 ms     	     453.752 ms     	     455.825 ms     
28	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
29	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
30	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
