Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.1.1         	       Local        	      35.849 ms     	      49.747 ms     	      46.172 ms     	      47.823 ms     
 2	181.171.25.1        	     Argentina      	       43.89 ms     	       62.31 ms     	      59.823 ms     	      59.902 ms     
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.165.157      	     Argentina      	      51.796 ms     	      70.636 ms     	      62.227 ms     	      64.001 ms     
 7	200.89.165.5        	     Argentina      	      47.924 ms     	      63.735 ms     	      59.893 ms     	      59.888 ms     
 8	200.89.165.250      	     Argentina      	      47.867 ms     	      61.543 ms     	      60.397 ms     	      59.962 ms     
 9	190.216.88.33       	     Argentina      	      47.923 ms     	      67.107 ms     	      62.495 ms     	       63.91 ms     
10	67.17.99.233        	   United States    	     207.935 ms     	     236.219 ms     	     236.612 ms     	     239.836 ms     
11	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
12	4.69.132.149        	   United States    	     223.914 ms     	     243.125 ms     	      238.22 ms     	     239.865 ms     
13	4.69.132.149        	   United States    	     223.841 ms     	     298.498 ms     	     234.999 ms     	     267.856 ms     
14	4.53.200.2          	   United States    	     239.819 ms     	     263.184 ms     	     256.808 ms     	      259.84 ms     
15	207.98.64.165       	   United States    	     235.875 ms     	     252.209 ms     	     248.174 ms     	     248.011 ms     
16	207.98.68.178       	   United States    	     235.745 ms     	     251.753 ms     	     250.175 ms     	     251.911 ms     
17	128.223.2.1         	   United States    	     235.965 ms     	     266.353 ms     	     256.666 ms     	     263.913 ms     
18	128.223.4.25        	   United States    	     231.994 ms     	      248.75 ms     	     245.294 ms     	     247.806 ms     
