Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.1.1         	       Local        	      35.884 ms     	      53.009 ms     	      47.486 ms     	      47.868 ms     
 2	181.171.25.1        	     Argentina      	       42.84 ms     	      62.816 ms     	      59.777 ms     	      59.895 ms     
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.165.133      	     Argentina      	      47.869 ms     	      65.185 ms     	      63.906 ms     	       63.89 ms     
 7	200.89.165.130      	     Argentina      	      51.801 ms     	      63.457 ms     	      59.858 ms     	      59.921 ms     
 8	200.89.165.222      	     Argentina      	      43.989 ms     	      65.853 ms     	      61.545 ms     	       63.82 ms     
 9	195.22.220.16       	       Italy        	      47.775 ms     	      61.123 ms     	      58.244 ms     	      59.873 ms     
10	195.22.219.3        	       Italy        	      75.876 ms     	      98.605 ms     	      88.622 ms     	       91.92 ms     
11	195.22.219.3        	       Italy        	      71.836 ms     	      91.002 ms     	      85.744 ms     	      87.859 ms     
12	149.3.181.65        	       Italy        	     219.889 ms     	     239.801 ms     	      235.88 ms     	     237.877 ms     
13	129.250.2.227       	   United States    	     227.823 ms     	     247.652 ms     	     243.808 ms     	     243.883 ms     
14	129.250.4.13        	   United States    	     267.852 ms     	     297.589 ms     	     291.059 ms     	     295.891 ms     
15	129.250.2.54        	   United States    	     271.812 ms     	     306.552 ms     	     300.065 ms     	     303.807 ms     
16	129.250.3.86        	   United States    	     379.833 ms     	     406.831 ms     	     399.591 ms     	     399.867 ms     
17	129.250.6.188       	   United States    	     367.775 ms     	     400.507 ms     	     388.407 ms     	     395.829 ms     
18	129.250.2.255       	   United States    	     359.867 ms     	     375.046 ms     	      371.73 ms     	     371.948 ms     
19	61.200.80.218       	       Japan        	     361.836 ms     	     384.399 ms     	     376.119 ms     	     375.886 ms     
20	158.205.192.173     	       Japan        	      386.77 ms     	     401.809 ms     	     395.742 ms     	     399.827 ms     
21	158.205.192.86      	       Japan        	     383.827 ms     	     404.842 ms     	     402.093 ms     	     403.773 ms     
22	158.205.121.250     	       Japan        	     392.066 ms     	     412.761 ms     	     406.544 ms     	     407.905 ms     
23	154.34.240.254      	       Japan        	     371.781 ms     	     392.129 ms     	     391.701 ms     	     391.855 ms     
24	210.152.135.178     	       Japan        	     375.876 ms     	     389.881 ms     	     385.881 ms     	     387.858 ms     
