Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.0.1         	       Local        	      35.777 ms     	      58.594 ms     	      59.684 ms     	      59.751 ms     
 2	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.164.129      	     Argentina      	      48.043 ms     	      66.199 ms     	      66.602 ms     	       67.53 ms     
 7	200.89.165.5        	     Argentina      	      55.618 ms     	      70.785 ms     	      65.983 ms     	      67.792 ms     
 8	200.89.165.250      	     Argentina      	       59.89 ms     	      77.818 ms     	      78.198 ms     	      77.148 ms     
 9	185.70.203.56       	       Italy        	       50.84 ms     	      71.839 ms     	      71.299 ms     	      71.747 ms     
10	195.22.219.3        	       Italy        	      75.957 ms     	     103.331 ms     	     105.539 ms     	     103.956 ms     
11	195.22.219.3        	       Italy        	       83.91 ms     	     103.995 ms     	       103.2 ms     	      103.67 ms     
12	149.3.181.65        	       Italy        	     196.139 ms     	     213.753 ms     	     213.327 ms     	     213.716 ms     
13	129.250.2.227       	   United States    	     234.429 ms     	     254.842 ms     	      255.97 ms     	     255.718 ms     
14	129.250.4.13        	   United States    	     283.765 ms     	     301.898 ms     	     297.467 ms     	     299.728 ms     
15	129.250.2.54        	   United States    	     283.822 ms     	     301.689 ms     	     298.115 ms     	     299.757 ms     
16	129.250.3.86        	   United States    	     379.906 ms     	     403.528 ms     	     403.231 ms     	     403.829 ms     
17	129.250.6.188       	   United States    	     375.839 ms     	     400.313 ms     	     396.553 ms     	     399.703 ms     
18	129.250.2.255       	   United States    	     375.773 ms     	     395.884 ms     	     394.784 ms     	     395.784 ms     
19	61.200.80.218       	       Japan        	     371.826 ms     	     392.625 ms     	     392.899 ms     	     391.924 ms     
20	158.205.192.173     	       Japan        	     371.968 ms     	      392.49 ms     	     391.804 ms     	     391.847 ms     
21	158.205.192.86      	       Japan        	     407.853 ms     	     427.647 ms     	     425.468 ms     	     423.906 ms     
22	158.205.121.250     	       Japan        	     383.617 ms     	     402.192 ms     	     401.164 ms     	     399.899 ms     
23	154.34.240.254      	       Japan        	      383.78 ms     	     400.951 ms     	     400.949 ms     	     399.813 ms     
24	210.152.135.178     	       Japan        	     383.795 ms     	     398.134 ms     	      397.01 ms     	     395.915 ms     
