Camino:
---------------
TTL	         IP         	        Pais        	     RTT Minimo     	    RTT Promedio    	 RTT Filtrado Prom  	    RTT Mediana     
 1	192.168.1.1         	       Local        	      27.825 ms     	       52.25 ms     	      48.973 ms     	      51.826 ms     
 2	181.171.25.1        	     Argentina      	      43.895 ms     	       65.49 ms     	      56.756 ms     	      59.931 ms     
 3	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 4	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 5	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
 6	200.89.165.157      	     Argentina      	      47.877 ms     	      71.855 ms     	      68.302 ms     	      67.912 ms     
 7	200.89.165.5        	     Argentina      	      43.876 ms     	      70.712 ms     	      69.443 ms     	      67.868 ms     
 8	200.89.165.250      	     Argentina      	      40.827 ms     	      68.685 ms     	      66.315 ms     	      65.789 ms     
 9	190.216.88.33       	     Argentina      	      43.706 ms     	      66.965 ms     	      63.458 ms     	      61.924 ms     
10	67.17.99.233        	   United States    	      219.79 ms     	     249.169 ms     	     247.892 ms     	     247.935 ms     
11	None                	      Unknown       	      Unknown       	      Unknown       	      Unknown       	      Unknown       
12	4.69.132.149        	   United States    	     223.738 ms     	     253.812 ms     	     249.518 ms     	     251.932 ms     
13	4.69.132.149        	   United States    	     231.783 ms     	      253.82 ms     	     248.538 ms     	     251.776 ms     
14	4.53.200.2          	   United States    	     247.853 ms     	     281.339 ms     	     278.731 ms     	     275.967 ms     
15	207.98.64.165       	   United States    	     243.848 ms     	     272.032 ms     	      270.89 ms     	     271.881 ms     
16	207.98.68.178       	   United States    	     247.862 ms     	      275.22 ms     	     268.234 ms     	     271.853 ms     
17	128.223.2.1         	   United States    	     239.807 ms     	     264.052 ms     	     255.491 ms     	     255.907 ms     
18	128.223.4.25        	   United States    	     231.852 ms     	     254.288 ms     	     249.685 ms     	      251.85 ms     
